epoch,train_loss,test_loss
1,0.008852514158254103,0.003887676148579834
2,0.006458999332942923,0.003327425133282064
3,0.005599038999448796,0.003107899211194445
4,0.00506651552210667,0.002985353292309776
5,0.004692273791219869,0.002903766632437012
6,0.004414197584161261,0.002819829913776561
7,0.004221671647314192,0.0027505623347418083
8,0.0040771158711636,0.0026847043467349515
9,0.003950042832475291,0.0026398652661888296
10,0.0038344730938085266,0.0025983223603941712
11,0.0037249386842245556,0.002591771088723963
12,0.0036292251279787103,0.0025959051015264057
13,0.003549100778772216,0.002590764366960118
14,0.003479494813938008,0.00257955590752832
15,0.003418618460989259,0.002570082380075034
16,0.0033631564824696566,0.002573055108841113
17,0.0033097323478089207,0.0025595858235039556
18,0.003263313259168837,0.0025587774728279876
19,0.003214949353232673,0.0025368142734119178
20,0.003167243595138074,0.002504161448714341
21,0.0031263606355571303,0.0024872069657046595
22,0.0030899852229960183,0.002470821097146122
23,0.003060618552579475,0.0024470110344184336
24,0.0030326362750792645,0.002428111226033235
25,0.0030014386252779223,0.0024184018489355574
26,0.002980852723331782,0.0024060881455518954
27,0.002960188085874926,0.0023911007601089057
28,0.0029483332108596254,0.002379732666650286
29,0.0029492110499233135,0.0023690963805464253
30,0.0029104212097675946,0.0023649316211890006
31,0.0028969361997671457,0.002354995299466745
32,0.002882811092381684,0.0023456273233915573
33,0.00286365988682547,0.0023327406734680615
34,0.002844262486991896,0.002322674406953771
35,0.0028339232552015495,0.002313284197655278
36,0.0028202978658512,0.002302999200298284
37,0.002809302846431014,0.0022926582815180497
38,0.0027980611258810427,0.0022847587064969495
39,0.002778766665474253,0.0022700239229949525
40,0.002784106790553435,0.0022596232274454966
41,0.0027589816935072687,0.002252739173451324
42,0.0027502299804157172,0.00224585119427296
43,0.0027466562846868896,0.0022426515028489105
44,0.002724377893829762,0.0022335689302142884
45,0.002719468644403388,0.0022283718106062326
46,0.002707346132507821,0.0022240755388860255
47,0.002699116036470286,0.002217112876022375
48,0.0026892867018608324,0.0022132813209230695
49,0.002672175329050423,0.0022110114517601928
50,0.0026792599730451824,0.0022091385555444813
51,0.0026523319324023766,0.002207929283212475
52,0.002648864322544731,0.002202096804745829
53,0.0026371804326451734,0.0022029010298385125
54,0.002632258390953333,0.0021988785338482625
55,0.0026180987127889872,0.0022020708738369342
56,0.0026133428518327227,0.0021920367107695882
57,0.0025966583609855327,0.002187736370740239
58,0.0025898918489920568,0.0021837707967629198
59,0.002591217950851837,0.0021767397783751564
60,0.0025719320113288344,0.002173454350295459
61,0.0025525249447108144,0.0021810791223421957
62,0.002537726894831364,0.0021796804962444715
63,0.0025604709875102524,0.002162496432434671
64,0.0025187266142234904,0.002165815712920311
65,0.0025261571591489386,0.0021639801334712725
66,0.002517217320454691,0.002157831815898392
67,0.0025166625539423965,0.002152497355616432
68,0.0024747492353861048,0.00214796215241977
69,0.0024849142389576774,0.002144437590553557
70,0.002470510375815697,0.0021356606133225075
71,0.0024634365879832804,0.002128614854860506
72,0.0024564792497362205,0.0021437653131949944
73,0.002444255807886193,0.0021404716473117794
74,0.0024447987060104955,0.002140346829656441
75,0.002422312871491398,0.0021624183109005967
76,0.0024443721867935535,0.0021472230606123734
77,0.00240526323859853,0.0021506747578376164
78,0.0024272698576330966,0.0021469818182313764
79,0.0024009538370998633,0.002148395935026819
80,0.0023993902560820054,0.002165649664733243
81,0.002377389334070309,0.002159379960953715
82,0.0023761585059351572,0.0021498759264809535
83,0.0023689869135032535,0.0021688886911071232
84,0.002354227449621329,0.0021869348685113264
85,0.002341412505972879,0.0021851850311405832
86,0.0023403066416882662,0.002200439273827832
87,0.0023222039859827496,0.002195937289778947
88,0.00234502380263532,0.002217955237192998
89,0.002316626800126594,0.002237272931294151
90,0.0023007221877739655,0.002217623555216222
91,0.002278046098101391,0.002216871837494491
92,0.002269972088710646,0.00222520259335826
93,0.002269801675786907,0.002216024768878135
94,0.00226181145237546,0.0022246651800639293
95,0.0022397068296886604,0.002224393010623797
96,0.002217692189222172,0.0022193998986204983
97,0.0022237048053580393,0.002216859663839953
98,0.002196677658581781,0.0022191570760827194
99,0.0021900628152548003,0.0022093651488968085
100,0.0021638863646863747,0.0022043495105616836
