epoch,train_loss,val_loss
1,0.1920221913374064,0.21279731532713503
2,0.19014991270204334,0.21056645092526544
3,0.18811926614354013,0.208172906518131
4,0.18615237493551032,0.2063041017560963
5,0.18454528639027346,0.20439744227723625
6,0.1824797601933703,0.20175972793164643
7,0.17978312337492822,0.1982696192320498
8,0.17636932466059335,0.1939413400484478
9,0.17216331580020022,0.18887072875229424
10,0.16708309623447568,0.18308040254634877
11,0.16084481956750246,0.1757577299960329
12,0.1536184159700693,0.16705938491759903
13,0.1450913754390375,0.15688113841627324
14,0.1353235164051489,0.14506777335403864
15,0.12358636193410243,0.13123975308964717
16,0.10978825584477146,0.11479453618740322
17,0.0935762670863984,0.096607642610282
18,0.07514913330874812,0.07060771052604943
19,0.051603637684012965,0.041247573662224375
20,0.030152802247528945,0.016357429014140605
21,0.019925806089400998,0.007174213391493161
22,0.019001699763126052,0.006258223935382741
23,0.01890802370254878,0.006062694968188884
24,0.018804200460430992,0.0059633747565457935
25,0.01864574137163113,0.006065009088200158
26,0.01829652432603491,0.0059849087482873676
27,0.01805371808813676,0.006188540007952721
28,0.01795161870362322,0.00583631525609404
29,0.01777201867140675,0.005804218829830295
30,0.017459910791811698,0.005756116242254729
31,0.017305404248288,0.005737807409348782
32,0.017243185102904825,0.005757309780986956
33,0.01698647942838425,0.005696483336644714
34,0.0167233146839153,0.005857723165497623
35,0.016835704581962735,0.005481237588395005
36,0.016659722488017992,0.005543900034635017
37,0.016433192968573342,0.005464455192536193
38,0.016325393742379343,0.005450480662954799
39,0.016184028214291976,0.00548262804084008
40,0.016163139920768663,0.005492890790561052
41,0.016002420449718308,0.005528709049955624
42,0.01595460327073576,0.00534598644937124
43,0.0158908065018646,0.0053798574713028605
44,0.0157505990907403,0.005336527430258638
45,0.015712645028609612,0.005317425860958003
46,0.01568530718689684,0.00533023369071179
47,0.015579384024481046,0.005271408371097467
48,0.015474125631085956,0.005412601060420623
49,0.015507060992318937,0.005194866870198495
50,0.015357605844283964,0.0052950787224553125
51,0.015299590692335654,0.005226040907651635
52,0.015188595364536874,0.00516203371329315
53,0.015194170565549206,0.005184761284207739
54,0.015140577119773185,0.0051855644838887565
55,0.015099723266845345,0.005478774987940871
56,0.015091540418609713,0.005220681244689791
57,0.014923296256388897,0.005258299971897228
58,0.014957059144585382,0.005248854210280405
59,0.014890748521465715,0.005268995119378657
60,0.014862751171642073,0.005222170070764969
61,0.01475852382687187,0.005217240459441929
62,0.01482014209809771,0.0054309216272464935
63,0.014847825528402653,0.00521363091200727
64,0.014771615781896667,0.00522751527857457
65,0.014711416467900593,0.0052556295370496655
66,0.014649546880050875,0.005287831877373728
67,0.014767102416627943,0.005168413149020433
